id,transaction time,current bank amount,last bank amount,time taken (seconds),most recent bank amount,account type,marital_status,age,occupation,credit card type,account source verification,transaction source method,account destination verification,fradulent
acus0,2016-10-05T01:44:58,43671,1151263,2299,348764,saving,married,46,musician,master,True,False,True,0
acus1,2015-01-14T15:05:07,7442,1062843,4553,225114,current,single,64,accounting,master,True,False,False,0
acus2,2016-10-28T13:44:58,40102,48042,1493,420486,current,married,41,farmer,master,True,True,True,0
acus3,2016-11-20T15:05:32,61024,1441746,544,239663,current,unknown,66,clergy,master,True,True,True,0
acus4,2015-09-01T16:11:57,22867,510656,4581,432337,current,married,78,accounting,verve,False,False,True,1
acus5,2015-05-19T13:26:16,85931,591576,606,433350,current,married,68,musician,master,False,True,False,1
acus6,2014-05-19T22:22:01,5986,231895,3411,485467,current,single,37,doctor,verve,True,False,False,0
acus7,2015-02-27T00:02:13,14208,315687,3202,19777,current,single,77,musician,master,True,False,False,1
acus8,2015-03-02T00:24:20,55289,1027145,2482,267863,current,single,57,doctor,verve,True,False,False,0
acus9,2017-01-07T22:09:09,74255,118689,679,280571,current,married,57,accounting,verve,True,False,False,0
acus10,2015-11-17T23:20:04,49347,481862,3370,73898,current,single,51,clergy,verve,True,False,False,1
acus11,2015-06-09T13:29:35,26372,1438664,2958,173497,current,married,58,clergy,master,True,True,False,0
acus12,2014-07-17T08:49:57,5365,1433186,228,62578,saving,single,79,banking,master,False,False,False,1
acus13,2015-10-28T06:03:25,86041,1111164,1464,298031,current,unknown,75,lecturer,master,True,True,False,0
acus14,2016-09-25T10:40:15,66541,752270,3390,416150,current,married,30,doctor,master,True,False,True,0
acus15,2015-07-18T04:22:12,43465,522537,1513,212276,current,unknown,60,banking,master,True,False,False,0
acus16,2014-06-28T10:51:29,90602,33259,1300,242900,current,married,42,clergy,master,False,False,False,1
acus17,2016-01-06T01:17:51,52343,128729,1177,35272,saving,unknown,78,banking,master,True,True,False,1
acus18,2015-09-13T09:08:02,18621,1117666,2778,162490,saving,married,50,musician,verve,True,True,False,0
acus19,2015-03-21T00:59:38,92199,1329352,295,254280,current,single,63,lecturer,master,True,False,False,1
acus20,2015-12-27T04:28:22,72470,167354,3284,371425,saving,married,30,lecturer,master,True,False,False,1
acus21,2015-04-12T22:49:08,16457,157408,1315,334324,current,unknown,47,banking,verve,True,False,False,1
acus22,2015-05-06T00:34:36,3761,1463393,549,58005,saving,married,34,clergy,master,True,False,True,0
